emp_id,income,expected_income,risk_score,quality
7629673,3135,550,36200,0.580918
3560428,3180,600,30150,0.73072
6934997,1540,450,34550,0.531712
5682812,5230,700,42150,0.792552
5335819,3590,1100,53850,0.744634
8492423,2303,600,74850,0.592556
7948313,2795,800,50800,0.58413
4297036,5000,1100,69100,0.525905
6493191,5260,1150,64050,0.569459
8908605,3055,600,59750,0.758607
8990111,3270,400,61700,0.632466
3818616,3877,800,55550,0.807174
6889184,3555,900,64500,0.752686
6817588,2135,1000,63000,0.454199
6235249,3700,500,2800,0.462823
8149720,6110,900,76350,0.495346
9375601,1515,400,56600,0.374144
7611317,3675,400,29150,0.824777
8515555,1520,900,35600,0.716315
4083808,4780,400,35400,0.61838
1403171,3240,1200,68650,0.446364
8079784,3105,600,53800,0.532947
3884169,5220,900,62350,0.535607
2868841,3625,1050,61000,0.449328
3470965,4499,700,63500,0.734796
1519375,2740,500,67350,0.48102
7769592,3635,900,48350,0.444159
4218775,1735,600,58350,0.505423
7290744,3165,700,87550,0.808443
1364529,3005,700,54100,0.568509
6502470,1580,1100,68000,0.499055
2881357,1875,350,68200,0.726708
6398494,2750,400,54950,0.659954
7048193,2265,400,67350,0.447938
3769730,3798,550,37050,0.787157
5262916,2000,500,38300,0.782007
7581828,1730,600,47550,0.453141
5815308,2645,700,78550,0.747655
2817073,2455,700,90150,0.820434
3344880,2270,1350,76050,0.775379
2958721,4715,2400,84650,0.738059
5190815,1760,600,41450,0.690358
2291906,5185,900,61950,0.623103
4797409,3265,700,46850,0.548545
8700190,2765,600,41850,0.571946
8232654,6745,600,50250,0.751827
9345905,4548,2000,72400,0.591933
6017637,1890,800,90000,0.71801
9071675,3125,700,70850,0.580398
5490466,3775,500,53650,0.448106
2843337,4635,1200,61900,0.582855
2718414,5260,700,71650,0.517257
2154744,3595,1100,70600,0.755791
3222253,2035,500,54100,0.581596
5867020,3035,500,56550,0.612984
3618715,3780,800,52850,0.746014
3738863,1520,450,44600,0.623151
1164716,6770,700,86200,0.809772
9056321,4060,2900,71800,0.760009
4311351,1560,800,60900,0.584818
1213384,3860,1200,63900,0.748307
3786494,2620,400,52700,0.570931
9153892,6560,400,30450,0.556111
4857902,3390,600,42550,0.756457
2649891,2150,600,52150,0.640947
9217393,6120,900,59700,0.588167
5627791,3550,1100,56900,0.471741
3192100,3325,800,68250,0.425807
9862875,5185,1100,47900,0.578785
1401385,4565,900,77050,0.552686
4838692,2640,1000,59600,0.702679
2699043,1520,600,84950,0.742486
1510791,6155,600,51100,0.87083
6311037,2295,550,21150,0.454607
3385813,4515,800,67350,0.630277
7004468,9323,500,56750,0.588435
8669237,4695,525,52950,0.53044
1665640,6240,3600,76050,0.46942
5706018,1850,600,51700,0.490527
8884442,3265,700,67800,0.680081
4502821,5050,2700,78650,0.535442
2629825,3250,900,51100,0.588475
9839345,2790,650,61250,0.730314
1934688,5605,900,52150,0.721994
8258904,4780,700,48100,0.788017
6899559,2715,1200,62400,0.691188
8262054,4700,600,61800,0.650032
5983465,5195,1200,63550,0.519763
3337988,6000,1900,82950,0.791703
1656355,5010,3000,80700,0.546637
6494782,5933,1200,74050,0.556316
3800876,2580,700,55800,0.614114
5208972,2450,500,30900,0.609751
1277624,2490,600,42750,0.650844
5646177,5290,2500,69200,0.61039
2124770,2050,500,61750,0.719201
3381898,3275,500,53150,0.713543
2795644,6230,800,50350,0.408179
6776905,2255,1300,79200,0.707664
2329716,3285,1000,68700,0.583027
6378268,2730,700,60750,0.628742
9234410,3680,2700,77750,0.499137
2690012,3266,400,65400,0.878984
6428253,3075,700,71500,0.488685
3407920,8165,1300,45700,0.426302
6892812,3670,900,42750,0.849046
1533395,3095,700,53150,0.729224
1425120,2055,800,70800,0.693139
2437855,3220,850,63550,0.785353
9371990,2760,400,79450,0.642256
8502509,3185,800,51700,0.702959
8358375,5250,700,74800,0.696058
8858967,2735,900,61050,0.429159
5523257,2595,600,50850,0.783477
7793931,3230,400,87050,0.581619
2186969,2225,550,40750,0.699652
7130906,1735,400,82450,0.753672
8005018,2745,400,80350,0.907785
6978621,2205,900,60200,0.604733
8739167,1505,1100,50250,0.459751
8915558,1520,900,64350,0.802997
5296882,2245,400,73950,0.755601
9260893,5020,400,48500,0.655638
6128590,4165,425,52700,0.770093
6989789,3625,500,46500,0.467866
1890237,1775,1000,70650,0.718644
8846477,2520,600,54400,0.536742
5032836,5265,700,33000,0.395115
2350369,2645,900,66850,0.571061
5770277,3780,700,53200,0.435311
4378557,4290,900,49350,0.427974
6920639,5140,900,75800,0.746323
9706797,1700,400,64700,0.917182
6313574,4595,700,55100,0.71558
9129594,3100,700,51950,0.594795
9663676,2730,700,59150,0.831974
9438177,3275,700,88550,0.602912
1928639,4005,400,41550,0.598365
3005304,6675,400,59700,0.731339
6691564,3493,1700,48650,0.598458
6307249,2297,1000,52800,0.626669
4939789,2620,1100,52650,0.718203
4488789,3025,1050,81800,0.518471
3231870,3180,1150,66450,0.559096
4891253,5170,1200,67200,0.547171
8546747,1725,1200,35050,0.747443
3265474,2550,700,79900,0.500856
6587812,2015,1600,51100,0.519602
6943764,3115,900,61650,0.480691
1327168,1850,700,60600,0.6071
4867078,4710,450,37650,0.805874
8125443,3290,800,76550,0.533181
6765716,3975,400,44850,0.526376
5309894,1670,600,49800,0.737837
5700559,3275,500,52250,0.432098
2772888,6620,500,61800,0.806578
1463246,7180,900,46450,0.42626
6531677,2695,800,90100,0.860756
1437389,2510,1200,65100,0.764822
8221640,5080,600,62900,0.613088
8072627,2010,600,61200,0.766375
9167945,5350,500,62300,0.730506
8166207,2125,600,53700,0.469448
6056016,5215,500,66900,0.746519
5229552,3030,600,66900,0.66585
2200507,3500,2100,84450,0.855804
2158204,3603,2400,49750,0.587291
4252472,3276,900,53900,0.861894
7260833,5642,600,43750,0.689468
9209967,5997,400,71400,0.82076
6493200,6510,400,36400,0.865257
5034378,3090,600,64650,0.611548
7634553,5125,1200,67800,0.84536
9907762,1795,400,54000,0.839947
6419188,4235,1700,75900,0.537249
2898121,3890,1150,87200,0.610753
5450058,2580,800,65900,0.590035
4296677,6585,600,77550,0.514053
3509870,4610,400,48900,0.674146
1217055,3730,800,63300,0.571983
8890758,2690,1350,87550,0.53035
7333173,3570,600,68800,0.734508
4358036,2615,550,37650,0.693857
3003105,2845,1400,42300,0.58648
9918925,4025,1200,68800,0.892625
3232246,4700,600,53850,0.851677
6639359,6125,900,69600,0.541336
7145455,2615,1200,77850,0.470179
5314468,7060,3300,66150,0.7812
5059582,4205,5100,76050,0.72771
7373726,8230,1100,48600,0.495378
8766703,3170,400,37400,0.68547
2867893,3090,500,33700,0.833839
8790471,1765,700,58500,0.795969
9143159,4115,1200,56600,0.753471
1510487,5657,800,46650,0.560461
7076563,3570,600,82150,0.591404
6737150,905,700,46000,0.704379
7076383,3015,700,34000,0.745902
7883052,3000,800,72800,0.838239
3403384,2735,800,74900,0.859613
6966205,3125,700,85650,0.576862
6191229,3009,1200,47650,0.850944
4146169,3145,900,32450,0.476065
2596261,3065,2700,45700,0.719779
3117436,7085,800,36450,0.781751
1480841,3511,1100,58300,0.785556
2305888,3420,800,51500,0.442011
6178313,3770,400,60000,0.501789
7114507,2555,1200,79850,0.630824
1579189,5370,900,68850,0.670783
6850850,3240,400,74900,0.514575
2414485,3710,400,55850,0.376234
2658749,2175,1200,35550,0.73136
5256194,2235,1000,48900,0.473517
7121524,1650,700,50650,0.711301
8942205,3675,1100,62850,0.659076
7173341,2110,450,42500,0.47676
2165757,1515,700,73100,0.719347
3851891,2455,550,35450,0.529687
5164540,3190,500,78550,0.515653
5565421,4240,600,77650,0.428614
5557139,3140,1100,64950,0.501449
9530482,2125,600,75150,0.739683
3527594,3570,500,33750,0.366798
3317660,2190,400,75400,0.830859
8249366,3180,1000,69300,0.60736
7991945,6200,2100,85950,0.599832
5023921,3026,1200,34800,0.754758
8679172,3150,600,49000,0.601274
1128751,2590,400,72700,0.882796
4235216,2790,1100,65400,0.598919
9132267,9085,3300,81450,0.820915
8962654,3680,700,52250,0.578814
4172378,4235,3100,89700,0.755694
2542984,2590,900,44300,0.54808
6367942,5115,2100,94300,0.666009
9323397,5285,400,74800,0.550462
4063282,1692,1100,78500,0.717123
4674730,3155,400,86100,0.819353
4882214,3110,2200,48850,0.603261
3776899,4230,2400,53550,0.501545
4741751,1695,700,51900,0.890052
4814727,3110,400,46500,0.66486
3827941,5220,2700,68250,0.505933
2089071,5130,1100,74150,0.700157
2854739,2145,2600,77650,0.750879
7529264,1670,400,58100,0.40137
7845724,3195,800,79250,0.449597
8548317,3740,1100,65900,0.51876
